file,attack_type,feature_group,model,best_params,accuracy,f1_score,precision,recall
02-14-2018.csv,02-14-2018,flags_and_protocol,LogisticRegression,"{""C"": 0.01}",0.8980524908590863,0.8439040356422294,0.9552743922670265,0.755790450023188
02-14-2018.csv,02-14-2018,flags_and_protocol,DecisionTree,"{""max_depth"": 10}",0.9999904283626757,0.9999868748605454,0.9999737500656248,1.0
02-14-2018.csv,02-14-2018,flags_and_protocol,RandomForest,"{""max_depth"": null, ""n_estimators"": 100}",0.9999968094542252,0.9999956249152328,0.999991249868748,1.0
02-14-2018.csv,02-14-2018,flags_and_protocol,ExtraTrees,"{""max_depth"": null, ""n_estimators"": 100}",0.9999968094542252,0.9999956249152328,0.999991249868748,1.0
02-14-2018.csv,02-14-2018,flags_and_protocol,XGBoost,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200}",0.9999872378169009,0.9999824998906243,0.9999650003937456,1.0
02-14-2018.csv,02-14-2018,flags_and_protocol,LightGBM,"{""learning_rate"": 0.1, ""n_estimators"": 100, ""num_leaves"": 31}",1.0,1.0,1.0,1.0
02-14-2018.csv,02-14-2018,flags_and_protocol,CatBoost,"{""depth"": 6, ""iterations"": 100, ""learning_rate"": 0.1}",0.9999744756338019,0.9999650003937456,0.9999300032373503,1.0
02-14-2018.csv,02-14-2018,flags_and_protocol,KNN,"{""n_neighbors"": 3}",1.0,1.0,1.0,1.0
02-14-2018.csv,02-14-2018,flags_and_protocol,LinearSVC,"{""C"": 0.1}",0.9096086476552679,0.8591051278353284,0.9951380247937693,0.755790450023188
02-14-2018.csv,02-14-2018,flags_and_protocol,MLP,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",0.9988003547886901,0.9983576626394458,0.9967207109777688,1.0
02-14-2018.csv,02-14-2018,rates_and_ratios,LogisticRegression,"{""C"": 0.01}",0.6978999827710528,0.7008757076425395,0.5484448311834709,0.9706518029803208
02-14-2018.csv,02-14-2018,rates_and_ratios,DecisionTree,"{""max_depth"": 10}",0.9717636698933719,0.9613084308273437,0.9606112766385028,0.9620065976566944
02-14-2018.csv,02-14-2018,rates_and_ratios,RandomForest,"{""max_depth"": 20, ""n_estimators"": 200}",0.9725644968828367,0.9624584703103648,0.9604164851442014,0.964509157092481
02-14-2018.csv,02-14-2018,rates_and_ratios,ExtraTrees,"{""max_depth"": null, ""n_estimators"": 100}",0.9737673326399214,0.963724123325627,0.9719317605389387,0.955653946781236
02-14-2018.csv,02-14-2018,rates_and_ratios,XGBoost,"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 200}",0.9713808044004008,0.9607875709277215,0.9599986022660761,0.96157783747364
02-14-2018.csv,02-14-2018,rates_and_ratios,LightGBM,"{""learning_rate"": 0.1, ""n_estimators"": 200, ""num_leaves"": 50}",0.9720348662842265,0.9617561205478495,0.9591572094966233,0.964369153767402
02-14-2018.csv,02-14-2018,rates_and_ratios,CatBoost,"{""depth"": 6, ""iterations"": 200, ""learning_rate"": 0.1}",0.9717413360729487,0.9613125008190027,0.95975718247946,0.9628728682306205
02-14-2018.csv,02-14-2018,rates_and_ratios,KNN,"{""n_neighbors"": 7}",0.9704683083088194,0.9595811390293535,0.9577576513044919,0.9614115835251087
