file,attack_type,feature_group,model,accuracy,f1_score,precision,recall
02-14-2018.csv,Benign,packet_size_stats,CatBoost,0.9501212696404091,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,packet_size_stats,CatBoost,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,packet_size_stats,CatBoost,0.9980113636363637,0.9990046921655055,1.0,0.9980113636363637
02-14-2018.csv,Benign,packet_size_stats,KNN,0.9501112266060068,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,packet_size_stats,KNN,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,packet_size_stats,KNN,0.9981001420454545,0.9990491677996677,1.0,0.9981001420454545
02-14-2018.csv,Benign,packet_size_stats,LinearSVC,0.9387877053172846,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,packet_size_stats,LinearSVC,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,packet_size_stats,LinearSVC,0.9998934659090909,0.9999467301170162,1.0,0.9998934659090909
02-14-2018.csv,Benign,packet_size_stats,MLP,0.9501112266060068,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,packet_size_stats,MLP,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,packet_size_stats,MLP,0.9980113636363637,0.9990046921655055,1.0,0.9980113636363637
02-14-2018.csv,Benign,timing_iat,LogisticRegression,0.9999949784827988,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,timing_iat,LogisticRegression,0.0,0.0,0.0,0.0
02-14-2018.csv,SSH-Bruteforce,timing_iat,LogisticRegression,0.0,0.0,0.0,0.0
02-14-2018.csv,Benign,timing_iat,DecisionTree,0.7066078144850685,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,timing_iat,DecisionTree,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,timing_iat,DecisionTree,0.9980646306818182,0.9990313780202789,1.0,0.9980646306818182
02-14-2018.csv,Benign,timing_iat,RandomForest,0.7066228790366721,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,timing_iat,RandomForest,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,timing_iat,RandomForest,0.9979936079545455,0.9989957965643801,1.0,0.9979936079545455
02-14-2018.csv,Benign,timing_iat,ExtraTrees,0.7066027929678673,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,timing_iat,ExtraTrees,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,timing_iat,ExtraTrees,0.9980823863636363,0.9990402729890164,1.0,0.9980823863636363
02-14-2018.csv,Benign,timing_iat,XGBoost,0.7066178575194709,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,timing_iat,XGBoost,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,timing_iat,XGBoost,0.9980646306818182,0.9990313780202789,1.0,0.9980646306818182
02-14-2018.csv,Benign,timing_iat,LightGBM,0.7066178575194709,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,timing_iat,LightGBM,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,timing_iat,LightGBM,0.9980823863636363,0.9990402729890164,1.0,0.9980823863636363
02-14-2018.csv,Benign,timing_iat,CatBoost,0.7066228790366721,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,timing_iat,CatBoost,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,timing_iat,CatBoost,0.998046875,0.9990224828934506,1.0,0.998046875
02-14-2018.csv,Benign,timing_iat,KNN,0.9994827837282757,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,timing_iat,KNN,0.0,0.0,0.0,0.0
02-14-2018.csv,SSH-Bruteforce,timing_iat,KNN,0.504296875,0.6704752012464295,1.0,0.504296875
02-14-2018.csv,Benign,timing_iat,LinearSVC,0.7064370829002274,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,timing_iat,LinearSVC,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,timing_iat,LinearSVC,0.4937322443181818,0.6610719507411413,1.0,0.4937322443181818
02-14-2018.csv,Benign,timing_iat,MLP,0.7018022225235132,0.0,0.0,0.0
02-14-2018.csv,FTP-BruteForce,timing_iat,MLP,1.0,1.0,1.0,1.0
02-14-2018.csv,SSH-Bruteforce,timing_iat,MLP,0.998046875,0.9990224828934506,1.0,0.998046875
02-14-2018.csv,Benign,flags_and_protocol,LogisticRegression,0.9796929844383182,0.0,0.0,0.0
