meta_model,base_combo,include_meta,accuracy,f1,precision,recall,leave_out,sampling
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9911031553328615,0.992193939069381,0.9993072586150229,0.9851811725451228,02-16-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9998893736737954,0.9999156721799614,0.9998429871976413,0.9999883677309224,02-21-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9999885558972892,0.9999912757981918,0.9999912757981918,0.9999912757981918,02-21-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.3441174927878311,0.0,0.0,0.0,02-21-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9999847411963856,0.9999883677140086,0.999989821734958,0.9999869136972876,02-21-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9999961852990964,0.9999970919411875,0.9999941838992884,1.0,02-21-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9999933242734187,0.9999949109081775,0.9999898218681524,1.0,02-21-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.6562134325155569,0.7919496088731599,0.6565902096188887,0.9976124767718126,02-21-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9999914169229669,0.9999934568914564,0.9999869138685368,1.0,02-21-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9999780654698043,0.999983278430848,0.9999941837386056,0.9999723733609406,02-21-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9999752044441266,0.9999810973153825,0.9999941837132338,0.9999680112600364,02-21-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.3441174927878311,0.0,0.0,0.0,02-21-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9999656676918676,0.9999738268998399,0.9999927295569683,0.9999549249573241,02-21-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.999881108186756,0.7933333333333333,1.0,0.6574585635359116,02-22-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.999881108186756,0.7960526315789473,0.983739837398374,0.6685082872928176,02-22-2018.csv,none
