meta_model,base_combo,include_meta,accuracy,f1,precision,recall,file,sampling
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9986267098574894,0.9988050255315147,0.9976129035823024,1.0,02-16-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9986457833316909,0.9988213746202669,0.9978385490085518,0.9998061382179118,02-16-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9999936421752662,0.9999951532541052,0.999990306555192,1.0,02-21-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9999936421752662,0.9999951532541052,0.999990306555192,1.0,02-21-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9999936421752662,0.9999951532541052,0.999990306555192,1.0,02-21-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9999936421752662,0.9999951532541052,0.999990306555192,1.0,02-21-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9999936421752662,0.9999951532541052,0.999990306555192,1.0,02-21-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9999936421752662,0.9999951532541052,0.999990306555192,1.0,02-21-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9999904632628992,0.999992729898776,0.9999854599032599,1.0,02-21-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9999936421752662,0.9999951532541052,0.999990306555192,1.0,02-21-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9999904632628992,0.999992729898776,0.9999854599032599,1.0,02-21-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9999936421752662,0.9999951532541052,0.999990306555192,1.0,02-21-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9999904632628992,0.999992729898776,0.9999854599032599,1.0,02-21-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9999936421752662,0.9999951532541052,0.999990306555192,1.0,02-21-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9998338074083544,0.6867469879518072,1.0,0.5229357798165137,02-22-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9998657675221324,0.7666666666666667,0.971830985915493,0.6330275229357798,02-22-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.6869091373965291,0.0008771124641760753,0.00043904431284459873,0.3944954128440367,02-22-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9998657675221324,0.7666666666666667,0.971830985915493,0.6330275229357798,02-22-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9998657675221324,0.7613636363636364,1.0,0.6146788990825688,02-22-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9996516347598198,0.0,0.0,0.0,02-22-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.6736680622583017,0.0008611073057126641,0.000431013371210266,0.4036697247706422,02-22-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9996516347598198,0.0,0.0,0.0,02-22-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9996516347598198,0.0,0.0,0.0,02-22-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9998657675221324,0.7613636363636364,1.0,0.6146788990825688,02-22-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.6869091373965291,0.0008771124641760753,0.00043904431284459873,0.3944954128440367,02-22-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9998657675221324,0.7613636363636364,1.0,0.6146788990825688,02-22-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9998401846187285,0.8275862068965517,1.0,0.7058823529411765,02-23-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9998497735416048,0.8395904436860068,1.0,0.7235294117647059,02-23-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9994566277036767,0.0,0.0,0.0,02-23-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9998497735416048,0.8406779661016949,0.992,0.7294117647058823,02-23-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9998465772339793,0.8356164383561644,1.0,0.7176470588235294,02-23-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9994566277036767,0.0,0.0,0.0,02-23-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.3549915138032545,0.001009890991178305,0.0005053708034404851,0.6,02-23-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9996707803145806,0.5654008438818565,1.0,0.3941176470588235,02-23-2018.csv,smote
