model,feature_group,protocol,accuracy,precision,recall,f1,roc_auc,pr_auc
XGBoost,packet_size_stats,cross_day,0.6487,0.3649,0.4284,0.2031,0.8727,0.5091
XGBoost,rates_and_ratios,cross_day,0.9226,0.552,0.5192,0.5071,0.8076,0.5463
XGBoost,timing_iat,cross_day,0.8206,0.3919,0.4118,0.3243,0.7268,0.4073
CatBoost,connection_activity,same_day,0.9813,0.9357,0.8093,0.8364,0.9823,0.8306
CatBoost,flags_and_protocol,same_day,0.9997,1.0,0.9634,0.979,0.9986,0.9825
CatBoost,flow_metrics,same_day,0.9853,0.9846,0.8169,0.8676,0.9908,0.8657
CatBoost,packet_size_stats,same_day,0.9757,0.9424,0.792,0.8264,0.9739,0.8268
CatBoost,rates_and_ratios,same_day,0.9907,0.8676,0.699,0.72,0.9886,0.7575
CatBoost,timing_iat,same_day,0.9722,0.9451,0.8239,0.8422,0.9782,0.8434
DecisionTree,connection_activity,same_day,0.9813,0.9033,0.8139,0.8354,0.9669,0.8234
DecisionTree,flags_and_protocol,same_day,0.9997,0.9978,0.9634,0.9782,0.9995,0.9469
DecisionTree,flow_metrics,same_day,0.9849,0.9178,0.8159,0.8524,0.9412,0.8236
DecisionTree,packet_size_stats,same_day,0.9757,0.9242,0.7946,0.8252,0.9698,0.8174
DecisionTree,rates_and_ratios,same_day,0.9922,0.8775,0.789,0.8188,0.9476,0.7922
DecisionTree,timing_iat,same_day,0.9722,0.8783,0.831,0.8363,0.9045,0.8046
ExtraTrees,connection_activity,same_day,0.9813,0.9312,0.8167,0.8435,0.9771,0.8426
ExtraTrees,flags_and_protocol,same_day,0.9997,0.9967,0.9612,0.9766,0.9999,0.9815
ExtraTrees,flow_metrics,same_day,0.9853,0.9677,0.8277,0.8746,0.9468,0.8579
ExtraTrees,packet_size_stats,same_day,0.9757,0.9377,0.7968,0.8299,0.973,0.8264
ExtraTrees,rates_and_ratios,same_day,0.9921,0.9019,0.8021,0.8366,0.9274,0.7984
ExtraTrees,timing_iat,same_day,0.9723,0.9261,0.8355,0.8513,0.9322,0.8384
KNN,connection_activity,same_day,0.9809,0.9045,0.814,0.8354,0.9052,0.8624
KNN,flags_and_protocol,same_day,0.9997,0.9987,0.9521,0.9723,0.9789,0.9771
KNN,flow_metrics,same_day,0.9838,0.9482,0.8135,0.8557,0.9215,0.8609
KNN,packet_size_stats,same_day,0.9755,0.9205,0.7858,0.8154,0.8882,0.862
KNN,rates_and_ratios,same_day,0.9922,0.9022,0.8107,0.8415,0.9203,0.839
KNN,timing_iat,same_day,0.9596,0.9517,0.7221,0.7831,0.914,0.8358
LightGBM,connection_activity,same_day,0.9813,0.9187,0.8137,0.8356,0.9786,0.832
LightGBM,flags_and_protocol,same_day,0.9997,0.9985,0.9637,0.9787,0.9998,0.9825
LightGBM,flow_metrics,same_day,0.9857,0.9744,0.8194,0.8679,0.9897,0.8548
LightGBM,packet_size_stats,same_day,0.9757,0.9304,0.7946,0.8262,0.9714,0.8223
LightGBM,rates_and_ratios,same_day,0.9913,0.8317,0.7475,0.7669,0.9862,0.7611
LightGBM,timing_iat,same_day,0.9722,0.9107,0.8223,0.8352,0.9771,0.8235
LinearSVC,connection_activity,same_day,0.9156,0.4715,0.3996,0.4039,0.6865,0.4006
LinearSVC,flags_and_protocol,same_day,0.9429,0.5659,0.4854,0.518,0.9008,0.5824
LinearSVC,flow_metrics,same_day,0.8997,0.5329,0.3987,0.4362,0.8006,0.5613
LinearSVC,packet_size_stats,same_day,0.9678,0.8991,0.6474,0.7195,0.9396,0.698
LinearSVC,rates_and_ratios,same_day,0.813,0.271,0.4234,0.324,0.7657,0.4452
LinearSVC,timing_iat,same_day,0.909,0.6767,0.5134,0.5208,0.742,0.4576
LogisticRegression,connection_activity,same_day,0.9157,0.4729,0.3997,0.4041,0.6912,0.4004
LogisticRegression,flags_and_protocol,same_day,0.9544,0.5607,0.5298,0.5417,0.9501,0.6675
LogisticRegression,flow_metrics,same_day,0.9011,0.5469,0.4016,0.4401,0.8283,0.5694
LogisticRegression,packet_size_stats,same_day,0.9671,0.7089,0.5871,0.6246,0.8712,0.6391
LogisticRegression,rates_and_ratios,same_day,0.8201,0.2739,0.4264,0.3282,0.7639,0.446
LogisticRegression,timing_iat,same_day,0.8387,0.6611,0.4087,0.4361,0.7439,0.466
MLP,connection_activity,same_day,0.9751,0.7659,0.658,0.6363,0.8896,0.6738
MLP,flags_and_protocol,same_day,0.9991,0.7087,0.7133,0.711,0.9132,0.7434
MLP,flow_metrics,same_day,0.9438,0.7846,0.6414,0.6403,0.81,0.6593
MLP,packet_size_stats,same_day,0.9754,0.9401,0.7166,0.7351,0.8878,0.7735
MLP,rates_and_ratios,same_day,0.9854,0.6779,0.6615,0.6692,0.8863,0.6742
MLP,timing_iat,same_day,0.9204,0.7703,0.4963,0.5107,0.8242,0.5672
RandomForest,connection_activity,same_day,0.9813,0.9421,0.8147,0.8436,0.9791,0.8419
RandomForest,flags_and_protocol,same_day,0.9997,0.9978,0.9621,0.9776,0.9995,0.983
RandomForest,flow_metrics,same_day,0.9857,0.9863,0.8094,0.8605,0.9886,0.8599
RandomForest,packet_size_stats,same_day,0.9757,0.9424,0.7946,0.8288,0.9725,0.8268
RandomForest,rates_and_ratios,same_day,0.9926,0.8915,0.7898,0.8227,0.9757,0.8063
RandomForest,timing_iat,same_day,0.9723,0.9475,0.8192,0.8387,0.979,0.8461
XGBoost,connection_activity,same_day,0.9813,0.9463,0.8133,0.8423,0.982,0.8373
XGBoost,flags_and_protocol,same_day,0.9997,0.9967,0.9634,0.9778,0.9996,0.983
XGBoost,flow_metrics,same_day,0.9855,0.9821,0.8233,0.8727,0.9905,0.8679
XGBoost,packet_size_stats,same_day,0.9757,0.9395,0.7886,0.8222,0.9724,0.823
XGBoost,rates_and_ratios,same_day,0.9905,0.8955,0.7033,0.7209,0.9888,0.7604
XGBoost,timing_iat,same_day,0.9722,0.9423,0.8255,0.8429,0.9788,0.8443
